pid,k,variant,fit_on,set_mae,set_acc,n_val,n_support,n_functions_seen,n_fallback,mean_cell_rows,set_mae_tail,set_acc_tail,n_val_tail
007,30,driver_function_fcd,support,0.6698113207547169,0.5377358490566038,106,30,5,0,6.0,nan,nan,0
007,40,driver_function_fcd,support,0.2916666666666667,0.7083333333333334,96,40,5,0,8.0,nan,nan,0
007,50,driver_function_fcd,support,0.38372093023255816,0.6162790697674418,86,50,5,0,10.0,nan,nan,0
007,60,driver_function_fcd,support,0.21052631578947367,0.7894736842105263,76,60,5,0,12.0,nan,nan,0
008,5,driver_function_fcd,support,0.48760330578512395,0.5702479338842975,121,5,5,0,1.0,nan,nan,0
008,10,driver_function_fcd,support,0.5086206896551724,0.5517241379310345,116,10,5,0,2.0,nan,nan,0
008,20,driver_function_fcd,support,0.5377358490566038,0.5283018867924528,106,20,5,0,4.0,nan,nan,0
008,30,driver_function_fcd,support,0.5729166666666666,0.5,96,30,5,0,6.0,nan,nan,0
008,40,driver_function_fcd,support,0.627906976744186,0.45348837209302323,86,40,5,0,8.0,nan,nan,0
008,50,driver_function_fcd,support,0.6973684210526315,0.39473684210526316,76,50,5,0,10.0,nan,nan,0
008,60,driver_function_fcd,support,0.7121212121212122,0.3787878787878788,66,60,5,0,12.0,nan,nan,0
009,5,driver_function_fcd,support,0.08527131782945736,0.9147286821705426,129,5,5,0,1.0,nan,nan,0
009,10,driver_function_fcd,support,0.08870967741935484,0.9112903225806451,124,10,5,0,2.0,nan,nan,0
009,20,driver_function_fcd,support,0.08771929824561403,0.9122807017543859,114,20,5,0,4.0,nan,nan,0
009,30,driver_function_fcd,support,0.09615384615384616,0.9038461538461539,104,30,5,0,6.0,nan,nan,0
009,40,driver_function_fcd,support,0.10638297872340426,0.8936170212765957,94,40,5,0,8.0,nan,nan,0
009,50,driver_function_fcd,support,0.08333333333333333,0.9166666666666666,84,50,5,0,10.0,nan,nan,0
009,60,driver_function_fcd,support,0.05405405405405406,0.9459459459459459,74,60,5,0,12.0,nan,nan,0
010,5,driver_function_fcd,support,0.8861788617886179,0.7723577235772358,123,5,4,27,1.25,nan,nan,0
010,10,driver_function_fcd,support,0.00847457627118644,0.9915254237288136,118,10,5,0,2.0,nan,nan,0
